column,missing_count,missing_share
date_month,0,0.0
market_id,0,0.0
market_class,0,0.0
return_usd,0,0.0
risk_free_rate,0,0.0
excess_return,0,0.0
source,0,0.0
source_download_date,0,0.0
ret_fwd_1m,2,0.0033
ret_fwd_3m,6,0.01
ret_fwd_6m,12,0.02
gpr_global,0,0.0
gprt_global,0,0.0
gpra_global,0,0.0
gpr_level_z,0,0.0
gpr_global_z,0,0.0
gpr_change,2,0.0033
gpr_change_z,2,0.0033
gpr_log_change,2,0.0033
gpr_log_change_z,2,0.0033
gpr_ar1_residual,2,0.0033
gpr_ar1_residual_z,2,0.0033
gprt_global_z,0,0.0
gpra_global_z,0,0.0
gdelt_risk_raw,0,0.0
gdelt_risk_z,0,0.0
sample_global_cycle,0,0.0
spread_em_dev,0,0.0
neg_ret_1m,0,0.0
left_tail_1m,0,0.0
